total_fail,score_mean,score_std
22,39.699999999999996,
23,36.1,
25,37.3,2.1213203435596526
26,38.199999999999996,
27,40.0,
28,38.099999999999994,0.989949493661168
30,38.349999999999994,1.0606601717798112
31,38.324999999999996,1.2971121771072855
32,37.8,
33,37.333333333333336,0.9073771725877458
34,38.800000000000004,2.5922962793631417
35,37.13333333333333,0.8144527815247058
36,39.3,1.7349351572897496
37,40.75,3.4648232278140867
38,37.199999999999996,
39,40.699999999999996,4.063249930782016
40,41.1,3.2273828406310883
41,40.0,3.3941125496954285
42,40.21666666666666,2.9862462501720564
43,39.75,5.0204581464244935
44,38.775,1.651622578816707
45,39.99999999999999,2.356551152284483
46,40.980000000000004,3.358868857219646
47,40.85,3.641885958309702
48,41.88,1.1541230437002812
49,41.36666666666667,2.406380407721664
50,42.05,2.5001999920006432
51,41.6,2.4754797514825264
52,42.0,2.5019992006393577
53,43.225,1.4930394055974137
54,43.72,2.3931151246858127
55,42.7375,1.072963186693747
56,43.28333333333333,0.9988326519826355
57,44.1,0.41833001326704217
58,42.4,1.3656500283747623
59,42.25,0.07071067811865324
60,42.775,0.5619905100029122
61,43.1,1.513274595042157
62,43.05,1.4638501094228011
63,42.839999999999996,1.6180234856144717
64,43.35,1.6263455967290572
67,41.6,
68,43.25,0.4949747468305878
70,44.1,
71,45.50000000000001,
73,41.95,0.9192388155425097
74,42.9,0.8000000000000043
75,44.0,1.838477631085027
77,43.1,
78,42.300000000000004,
80,44.4,1.5556349186104066
85,43.9,1.4142135623730951
