attackMethod,defendMethod,exp_id,total_fail,total_score
para-random,failure count-simi-global,8,4669,718.6551724137944
para-random,failure count-simi-global,9,4549,720.1379310344837
para-random,failure count-simi-global,10,4609,723.2758620689676
para-random,failure count-global,1,1846,712.4827586206925
para-random,failure count-global,2,1795,708.1379310344852
para-random,failure count-global,3,1786,710.7241379310361
para-random,failure count-global,4,1792,707.9655172413826
para-random,failure count-global,5,1793,707.8620689655196
para-random,failure count-global,6,1729,708.724137931038
para-random,failure count-global,7,1762,710.4137931034504
para-random,failure count-global,8,1713,705.0000000000041
para-random,failure count-global,9,1742,710.6896551724163
para-random,failure count-global,10,1738,702.8620689655208
para-different,failure count-provider inner,1,4600,618.4827586206949
para-different,failure count-provider inner,2,4485,615.3448275862127
para-different,failure count-provider inner,3,4571,618.6896551724194
para-different,failure count-provider inner,4,4464,615.4482758620746
para-different,failure count-provider inner,5,4487,616.7241379310395
para-different,failure count-provider inner,6,4360,612.7586206896613
para-different,failure count-provider inner,7,4403,614.7586206896609
para-different,failure count-provider inner,8,4288,610.8275862069019
para-different,failure count-provider inner,9,4440,616.8620689655227
para-different,failure count-provider inner,10,4318,619.0344827586265
para-different,failure count-simi-global,1,4381,614.2068965517295
para-different,failure count-simi-global,2,4457,617.7931034482812
para-different,failure count-simi-global,3,4323,614.2758620689713
para-different,failure count-simi-global,4,4419,614.4827586206954
para-different,failure count-simi-global,5,4378,615.8620689655232
para-different,failure count-simi-global,6,4422,612.4827586206957
para-different,failure count-simi-global,7,4223,615.1724137931085
para-different,failure count-simi-global,8,4354,614.5862068965578
para-different,failure count-simi-global,9,4273,615.2758620689709
para-different,failure count-simi-global,10,4369,612.827586206903
para-different,failure count-global,1,1027,522.241379310347
para-different,failure count-global,2,986,521.3448275862088
para-different,failure count-global,3,978,522.1034482758639
para-different,failure count-global,4,1005,521.9310344827608
para-different,failure count-global,5,972,521.1724137931054
para-different,failure count-global,6,1037,522.7241379310367
para-different,failure count-global,7,1088,524.7586206896572
para-different,failure count-global,8,1017,521.2758620689676
para-different,failure count-global,9,1067,525.137931034485
para-different,failure count-global,10,1078,524.7586206896578
para-single,failure count-provider inner,1,4527,687.0344827586249
para-single,failure count-provider inner,2,4512,687.0689655172444
para-single,failure count-provider inner,3,4450,686.7931034482785
para-single,failure count-provider inner,4,4451,686.2413793103482
para-single,failure count-provider inner,5,4517,688.1034482758657
para-single,failure count-provider inner,6,4491,687.7586206896578
para-single,failure count-provider inner,7,4474,691.3793103448309
para-single,failure count-provider inner,8,4400,685.6551724137958
para-single,failure count-provider inner,9,4365,685.0000000000028
para-single,failure count-provider inner,10,4392,692.0000000000039
para-single,failure count-simi-global,1,4416,683.7931034482797
para-single,failure count-simi-global,2,4573,687.7931034482798
para-single,failure count-simi-global,3,4528,688.8620689655202
para-single,failure count-simi-global,4,4426,690.1724137931067
para-single,failure count-simi-global,5,4330,689.6896551724158
para-single,failure count-simi-global,6,4435,689.6551724137954
para-single,failure count-simi-global,7,4440,690.2068965517279
para-single,failure count-simi-global,8,4368,690.9310344827628
para-single,failure count-simi-global,9,4276,690.6206896551769
para-single,failure count-simi-global,10,4398,689.3448275862107
para-single,failure count-global,1,1652,700.4482758620707
para-single,failure count-global,2,1664,700.6551724137967
para-single,failure count-global,3,1718,698.344827586209
para-single,failure count-global,4,1678,698.931034482762
para-single,failure count-global,5,1677,696.8620689655202
para-single,failure count-global,6,1620,700.4482758620705
para-single,failure count-global,7,1609,699.8275862068994
para-single,failure count-global,8,1710,695.2068965517259
para-single,failure count-global,9,1652,699.1724137931045
para-single,failure count-global,10,1608,700.6896551724166
